token,price,volume,market_cap,link
NiggaPay,$0.0003156,$1.9M,$315K,https://dexscreener.com/solana/3gprrnbmcdvparvchidk7kwp6sekj4csnhvp38zvbtcs
Swap,$0.0001564,$746K,$156K,https://dexscreener.com/solana/8eufkartpk2rwjcej7nppezalckdphwr1mu7jpgnadse
SPARK,$0.0008483,$7.4M,$840K,https://dexscreener.com/plasma/0xf5ef5e0f99d0be34b30332bdfbb639241be4c309
FF,$0.7576,$7.6M,$7.57B,https://dexscreener.com/ethereum/0x68131ea0840a4f5d3ae7bb8260e8d3e2a674a5f1
BBC,$0.0001000,$1.0M,$99K,https://dexscreener.com/solana/2yertpugiey7ets39gxztqszske7g5azkmtqlocwwjfi
wl,$0.0001931,$511K,$193K,https://dexscreener.com/solana/rmba4egbn7sud1gqkxm81x37gzjzwfzanjnafdcuuz3
Hardcore,$0.0001243,$520K,$124K,https://dexscreener.com/solana/2eqrztk9udttjwcj66ynq7zqqfsr1g6v6yv8fryc8tvk
beet,$0.0001637,$1.7M,$161K,https://dexscreener.com/solana/fa9eiz1cvsfrvbtyxzxuju4qvyfs9mb5j321u7qywifp
PERP,$0.0001511,$249K,$151K,https://dexscreener.com/solana/hh5j5ianvjmdf9slgxntg2lug1aqz7jazyh2fwuigxy6
eholmes,$0.0002583,$1.4M,$258K,https://dexscreener.com/solana/2rnqzwdkguy5t6yotmqpb53dtmongcvyfcqf4nyiuvfy
PWood,$0.0001274,$3.5M,$127K,https://dexscreener.com/solana/7qavtdya7dkrvp2vqd8uxvisgtkhbpv51c7zb1fwhzfv
1bit,$0.01900,$1.5M,$399K,https://dexscreener.com/solana/hmzvacgozsmcc6e42dvszxuqduyvn6srowruyjsnepdg
BABYASTER,$0.005002,$11.5M,$5.0M,https://dexscreener.com/bsc/0xb9615eb777dad42ce3e390d77fc0da550f9831de
NUB,$0.043106,$2.0M,$29K,https://dexscreener.com/solana/c2prexokkuifwnoq69ufac13g96yqqjt2pv5x3nozwql
₿,$0.044680,$568K,$46K,https://dexscreener.com/solana/3mjgcythbtjbfayhra1wzkcfkafd3ywiwjbx5wuoz6lm
